2026-04-07 17:49:54 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-04-07 17:49:54 [main] INFO  c.c.t.CricketTournamentApplication - Starting CricketTournamentApplication using Java 23.0.1 with PID 11140 (C:\Users\ragha\.gemini\antigravity\scratch\cricket-tournament\backend\target\classes started by ragha in C:\Users\ragha\.gemini\antigravity\scratch\cricket-tournament\backend)
2026-04-07 17:49:54 [main] INFO  c.c.t.CricketTournamentApplication - The following 1 profile is active: "dev"
2026-04-07 17:49:55 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-04-07 17:49:55 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 103 ms. Found 9 JPA repository interfaces.
2026-04-07 17:49:57 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-04-07 17:49:57 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-0.0.0.0-8080"]
2026-04-07 17:49:57 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-07 17:49:57 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2026-04-07 17:49:57 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-07 17:49:57 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3198 ms
2026-04-07 17:49:57 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-04-07 17:49:58 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-04-07 17:49:58 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-04-07 17:49:58 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-04-07 17:49:58 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-04-07 17:49:58 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3a3bc0da
2026-04-07 17:49:58 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-04-07 17:50:00 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-04-07 17:50:01 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-04-07 17:50:02 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-04-07 17:50:03 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-04-07 17:50:03 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: ff24d4d2-fa3a-4da8-8f26-1e7ede22d12e

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-04-07 17:50:03 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2026-04-07 17:50:03 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6b82196e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2f5823c7, org.springframework.security.web.context.SecurityContextHolderFilter@1fd0f9dd, org.springframework.security.web.header.HeaderWriterFilter@299a2968, org.springframework.web.filter.CorsFilter@79cc08fb, org.springframework.security.web.authentication.logout.LogoutFilter@78c7928a, com.cricket.tournament.security.JwtAuthenticationFilter@34cd65ac, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@44535df8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3385f1a8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@46a9af36, org.springframework.security.web.session.SessionManagementFilter@15f8b713, org.springframework.security.web.access.ExceptionTranslationFilter@4a8c4dae, org.springframework.security.web.access.intercept.AuthorizationFilter@6969e079]
2026-04-07 17:50:04 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-0.0.0.0-8080"]
2026-04-07 17:50:04 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2026-04-07 17:50:04 [main] INFO  c.c.t.CricketTournamentApplication - Started CricketTournamentApplication in 11.129 seconds (process running for 11.893)
2026-04-07 18:02:57 [http-nio-0.0.0.0-8080-exec-150] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-07 18:02:57 [http-nio-0.0.0.0-8080-exec-150] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-07 18:02:57 [http-nio-0.0.0.0-8080-exec-150] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
